GEOID,pct_white,pct_black,pct_not_white,majority_not_white,median_ageE,median_incomeE,maj_anc_type,maj_anc_group
36047113400,0.08977943460702081,0.7449518484001243,0.9102205653929791,TRUE,28.5,12435,WestIndianexceptHispanicgroups,West Indies
36047115600,0.08631029986962191,0.7546284224250326,0.9136897001303781,TRUE,32.2,15869,WestIndianexceptHispanicgroups,West Indies
36047117800,0.2987551867219917,0.29304979253112035,0.70124481327800825,TRUE,32.3,25134,Guyanese,South America
36047087800,0.010697305863708399,0.9532488114104596,0.9893026941362916,TRUE,50,22221,WestIndianexceptHispanicgroups,West Indies
36047088200,0.07195600942655145,0.8862529457973292,0.9280439905734486,TRUE,34.7,27320,WestIndianexceptHispanicgroups,West Indies
36047089000,0.0887775192410954,0.8689815643458028,0.9112224807589046,TRUE,45.5,22554,WestIndianexceptHispanicgroups,West Indies
36047089400,0.05418559377027904,0.7858533419857235,0.9458144062297209,TRUE,33.4,24028,WestIndianexceptHispanicgroups,West Indies
36047093000,0.006270627062706271,0.9574257425742574,0.9937293729372937,TRUE,42.1,35272,WestIndianexceptHispanicgroups,West Indies
36047096200,0.05472103004291846,0.8503218884120172,0.9452789699570815,TRUE,30,31816,WestIndianexceptHispanicgroups,West Indies
36047098400,0.08053691275167785,0.912751677852349,0.9194630872483222,TRUE,42,31526,WestIndianexceptHispanicgroups,West Indies
36047041401,0.7357320099255583,0.00620347394540943,0.2642679900744417,FALSE,29.7,25605,Arab,Middle East
36047041500,0.28077290076335876,0.40911259541984735,0.7192270992366412,TRUE,28.1,27395,WestIndianexceptHispanicgroups,West Indies
36047041800,0.8119755911517925,0.02936689549961861,0.18802440884820748,FALSE,28,21574,Arab,Middle East
36047043100,0.5364667747163695,0.0619935170178282,0.46353322528363045,FALSE,27.7,30378,Irish,Europe
36047043800,0.7798232695139912,0.022827687776141383,0.22017673048600883,FALSE,32.2,23548,American,United States
36047047400,0.9912455232789494,0,0.008754476721050538,FALSE,27.7,27568,Polish,Europe
36047047700,0.7915448019143845,0.040680670034565276,0.20845519808561552,FALSE,32.4,61322,Italian,Europe
36047048200,0.4736544975536319,0.06379375235227701,0.5263455024463681,TRUE,36.3,23411,American,United States
36047048900,0.17769537934968624,0.4614945807187678,0.8223046206503137,TRUE,36.8,14306,Guyanese,South America
36047049000,0.5892425088404988,0.08691606179043365,0.4107574911595012,FALSE,32.5,31209,Russian,Europe
36047049700,0.7102706453851492,0.009368494101318528,0.2897293546148508,FALSE,33.1,58659,Italian,Europe
36047050100,0.7385003150598614,0.0330812854442344,0.26149968494013864,FALSE,32.9,52308,Italian,Europe
36047051400,0.2226139511458071,0.4174011583983883,0.7773860488541929,TRUE,35,36058,WestIndianexceptHispanicgroups,West Indies
36047078800,0.026579111944965605,0.8692933083176986,0.9734208880550344,TRUE,33.2,25948,WestIndianexceptHispanicgroups,West Indies
36047035200,0.6687612208258528,0.18581687612208259,0.33123877917414724,FALSE,75.4,11296,Ukrainian,Europe
36047036501,0.00921942224953903,0.9099569760295021,0.990780577750461,TRUE,33.8,31533,WestIndianexceptHispanicgroups,West Indies
36047039200,0.8532716457369465,0.011566424322538004,0.14672835426305353,FALSE,30.3,24571,Italian,Europe
36047036700,0.11027756939234809,0.6219054763690923,0.8897224306076519,TRUE,35.9,27557,WestIndianexceptHispanicgroups,West Indies
36047037000,0.6455344747801943,0,0.3544655252198056,FALSE,45.1,32576,Ukrainian,Europe
36047038700,0.22600851916812828,0.6903031821598596,0.7739914808318717,TRUE,34.9,32500,WestIndianexceptHispanicgroups,West Indies
36047009600,0.41058218076551944,0.0369893856545513,0.5894178192344806,TRUE,35.1,20337,Italian,Europe
36047010200,0.16608323609490472,0.004472967716841696,0.8339167639050953,TRUE,32.7,20587,Irish,Europe
36047011000,0.4920245398773006,0.013905930470347648,0.5079754601226993,TRUE,28.6,22639,Polish,Europe
36047013400,0.7147887323943662,0.022132796780684104,0.2852112676056338,FALSE,41.3,42311,Irish,Europe
36047013600,0.7564300411522634,0.009516460905349794,0.24356995884773663,FALSE,37.3,39015,Irish,Europe
36047014900,0.8286345108695652,0.016304347826086956,0.17136548913043478,FALSE,35.4,60861,Italian,Europe
36047015000,0.7638800255264837,0.0019144862795149968,0.23611997447351626,FALSE,50.2,36047,Italian,Europe
36047015300,0.8095593726661687,0.04891710231516057,0.19044062733383121,FALSE,40.3,58953,Irish,Europe
36047016300,0.7182216656230432,0.12867877269881026,0.2817783343769568,FALSE,36.6,62583,Irish,Europe
36047018400,0.4442036836403034,0,0.5557963163596966,TRUE,38.9,30777,Italian,Europe
36047018700,0.4454713493530499,0.203943314849045,0.5545286506469501,TRUE,34.4,34167,WestIndianexceptHispanicgroups,West Indies
36047019000,0.427831715210356,0.014023732470334413,0.572168284789644,TRUE,36.6,25147,Italian,Europe
36047019500,0.5534724055980987,0.34539213097438604,0.44652759440190126,FALSE,36.5,45896,German,Europe
36047019900,0.5639269406392694,0.2842465753424658,0.4360730593607306,FALSE,33.3,53787,Irish,Europe
36047000900,0.7425897035881436,0.07198573657232003,0.2574102964118565,FALSE,33.9,95080,Irish,Europe
36047002200,0.471737323358271,0.051745635910224436,0.528262676641729,TRUE,39.2,21071,Irish,Europe
36047003700,0.6900654372397382,0.0874479476502082,0.30993456276026177,FALSE,31,90694,Irish,Europe
36047004600,0.8683001531393568,0,0.13169984686064318,FALSE,44.4,63824,Italian,Europe
36047004700,0.652128218602207,0.1676300578034682,0.34787178139779296,FALSE,36,73397,Irish,Europe
36047006600,0.7950617283950617,0.00823045267489712,0.20493827160493827,FALSE,35.2,33558,Arab,Middle East
36047007400,0.2628787878787879,0.016666666666666666,0.7371212121212121,TRUE,34.9,20481,Arab,Middle East
36047007800,0.4307251908396947,0.06221374045801527,0.5692748091603054,TRUE,32.2,22163,Italian,Europe
36047011200,0.6197542683899793,0.027604914632200415,0.38024573161002073,FALSE,29.5,15893,American,United States
36047012000,0.0930442637759711,0,0.9069557362240289,TRUE,37.7,20267,American,United States
36047002100,0.7750340268325879,0.04122107719230021,0.22496597316741201,FALSE,34.3,105595,Irish,Europe
36047003000,0.6501529051987768,0.05076452599388379,0.3498470948012232,FALSE,35.4,45921,Arab,Middle East
36047003300,0.5435897435897435,0.25020242914979757,0.4564102564102564,FALSE,33.4,74250,Irish,Europe
36047087000,0.049297971918876755,0.9335413416536662,0.9507020280811233,TRUE,37.2,26693,WestIndianexceptHispanicgroups,West Indies
